sub,motion,stratum,t1w_path
sub-RC4121,1.5503032,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4121/ses-1/anat/sub-RC4121_ses-1_T1wbrain.nii.gz
sub-RC4207,1.6105584,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4207/ses-1/anat/sub-RC4207_ses-1_T1wbrain.nii.gz
sub-RC4117,1.6820236,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4117/ses-1/anat/sub-RC4117_ses-1_T1wbrain.nii.gz
sub-RC4212,1.73169,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4212/ses-1/anat/sub-RC4212_ses-1_T1wbrain.nii.gz
sub-RC4109,1.8281698,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4109/ses-1/anat/sub-RC4109_ses-1_T1wbrain.nii.gz
sub-RC4204,1.9086304,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4204/ses-1/anat/sub-RC4204_ses-1_T1wbrain.nii.gz
sub-RC4219,2.01183,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4219/ses-1/anat/sub-RC4219_ses-1_T1wbrain.nii.gz
sub-RC4220,2.0557277,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4220/ses-1/anat/sub-RC4220_ses-1_T1wbrain.nii.gz
sub-RC4129,2.061003,low,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4129/ses-1/anat/sub-RC4129_ses-1_T1wbrain.nii.gz
sub-RC4210,2.4288101,mid,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4210/ses-1/anat/sub-RC4210_ses-1_T1wbrain.nii.gz
sub-RC4107,2.4796884,mid,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4107/ses-1/anat/sub-RC4107_ses-1_T1wbrain.nii.gz
sub-RC4206,2.485158,mid,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4206/ses-1/anat/sub-RC4206_ses-1_T1wbrain.nii.gz
sub-RC4130,2.490185,mid,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4130/ses-1/anat/sub-RC4130_ses-1_T1wbrain.nii.gz
sub-RC4118,2.5374672,mid,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4118/ses-1/anat/sub-RC4118_ses-1_T1wbrain.nii.gz
sub-RC4116,2.553211,mid,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4116/ses-1/anat/sub-RC4116_ses-1_T1wbrain.nii.gz
sub-RC4111,2.6044729,mid,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4111/ses-1/anat/sub-RC4111_ses-1_T1wbrain.nii.gz
sub-RC4110,2.942408,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4110/ses-1/anat/sub-RC4110_ses-1_T1wbrain.nii.gz
sub-RC4115,2.9976983,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4115/ses-1/anat/sub-RC4115_ses-1_T1wbrain.nii.gz
sub-RC4225,3.037153,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4225/ses-1/anat/sub-RC4225_ses-1_T1wbrain.nii.gz
sub-RC4122,3.0857208,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4122/ses-1/anat/sub-RC4122_ses-1_T1wbrain.nii.gz
sub-RC4114,3.177995,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4114/ses-1/anat/sub-RC4114_ses-1_T1wbrain.nii.gz
sub-RC4112,3.2691674,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4112/ses-1/anat/sub-RC4112_ses-1_T1wbrain.nii.gz
sub-RC4227,3.419503,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4227/ses-1/anat/sub-RC4227_ses-1_T1wbrain.nii.gz
sub-RC4120,3.4675524,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4120/ses-1/anat/sub-RC4120_ses-1_T1wbrain.nii.gz
sub-RC4217,3.4713047,high,/home/av62870@ens.ad.etsmtl.ca/Documents/ds001907/derivatives/sub-RC4217/ses-1/anat/sub-RC4217_ses-1_T1wbrain.nii.gz
