,sub,motion
0,sub-0226,0.8700306
1,sub-0179,1.5906842
2,sub-0235,0.44840035
3,sub-0319,0.50396025
4,sub-0335,0.35847932
5,sub-0352,1.6011599
0,sub-0029,0.2831841
1,sub-0445,0.58427864
2,sub-0446,0.79881483
3,sub-0362,0.42562702
4,sub-0012,0.6126295
5,sub-0410,1.1221873
0,sub-0285,0.43081626
1,sub-0358,1.2976627
2,sub-0220,0.5096172
3,sub-0099,1.1059631
4,sub-0009,0.45975518
5,sub-0218,0.7912629
0,sub-0198,2.665873
1,sub-0375,0.6633861
2,sub-0268,0.7949555
3,sub-0098,0.7534316
4,sub-0136,0.49682397
5,sub-0065,1.1402202
0,sub-0383,0.89189136
1,sub-0267,1.6457802
2,sub-0031,1.0568879
3,sub-0237,0.5094348
4,sub-0168,0.830239
5,sub-0240,0.8255031
0,sub-0434,1.1986101
1,sub-0112,0.8989682
2,sub-0199,0.9808051
3,sub-0075,1.4944649
4,sub-0332,0.7601865
5,sub-0457,0.62582374
0,sub-0069,0.735434
1,sub-0366,0.49832726
2,sub-0330,0.60386276
3,sub-0328,0.5771387
4,sub-0195,0.84158224
5,sub-0277,0.5308391
0,sub-0037,1.8764566
1,sub-0084,0.81044614
2,sub-0407,0.7498034
3,sub-0050,1.3511226
4,sub-0390,0.40727428
5,sub-0294,0.63361925
0,sub-0035,0.49360538
1,sub-0447,0.4245994
2,sub-0400,1.2245572
3,sub-0160,0.72791034
4,sub-0041,1.1186155
5,sub-0138,0.42677435
0,sub-0337,0.91315347
1,sub-0189,0.49649736
2,sub-0327,0.3137797
3,sub-0126,0.61810505
4,sub-0227,0.7329734
5,sub-0368,0.9366426
0,sub-0261,0.67526495
1,sub-0353,0.24654971
2,sub-0279,0.38637024
3,sub-0415,0.37837404
4,sub-0281,0.38060063
5,sub-0229,2.2991593
0,sub-0074,0.36276418
1,sub-0342,0.8219325
2,sub-0303,0.5840214
3,sub-0067,0.79115355
4,sub-0270,0.78896236
5,sub-0395,0.461588
0,sub-0130,0.61331224
1,sub-0260,0.26289135
2,sub-0150,0.99034524
3,sub-0015,1.2574625
4,sub-0308,0.7800719
5,sub-0420,0.46543398
0,sub-0369,1.0596442
1,sub-0338,0.5430633
2,sub-0300,2.0153139
3,sub-0107,0.56996125
4,sub-0234,0.54711694
5,sub-0210,0.87448484
0,sub-0309,1.6664735
1,sub-0208,0.51540273
2,sub-0311,0.6073513
3,sub-0441,1.3834653
4,sub-0214,0.4963993
5,sub-0430,0.80406696
0,sub-0312,1.0689389
1,sub-0182,0.57287216
2,sub-0433,0.93028986
3,sub-0307,1.4341725
4,sub-0147,0.43238863
5,sub-0052,1.3706678
0,sub-0354,0.8344712
1,sub-0247,0.81359893
2,sub-0178,1.7646072
3,sub-0404,0.541623
4,sub-0064,0.48792455
5,sub-0372,1.2918562
0,sub-0108,0.6912572
1,sub-0421,0.85031974
2,sub-0417,1.1616058
3,sub-0344,0.6313183
4,sub-0299,1.4239085
5,sub-0051,0.82690245
0,sub-0121,0.7844399
1,sub-0200,1.0381014
2,sub-0184,0.86128396
3,sub-0004,0.34843773
4,sub-0396,0.3902594
5,sub-0085,0.49062508
0,sub-0090,0.3237927
1,sub-0174,1.1199524
2,sub-0007,0.4139325
3,sub-0039,1.4235548
4,sub-0217,1.1223845
5,sub-0450,0.75171596
0,sub-0135,0.74444324
1,sub-0444,0.80653554
2,sub-0193,0.5057006
3,sub-0101,0.5264957
4,sub-0451,0.22033328
5,sub-0266,0.7030936
0,sub-0060,0.3902151
