sub,motion,mean_thickness,residual,residual_z,outlier_type,cluster
sub-0226,0.8700306,2.341264705882353,-0.09411476016864295,-0.7316366325624861,normal,2.0
sub-0179,1.5906842,2.204558823529412,-0.15298564887176536,-1.1892917197085742,normal,1.0
sub-0235,0.44840035,2.5334558823529414,0.05253777217205924,0.4084222139590351,normal,0.0
sub-0319,0.50396025,2.5146176470588237,0.03970034567662717,0.3086256307763719,normal,0.0
sub-0335,0.35847932,2.368867647058824,-0.12176248398622258,-0.9465666553948794,normal,2.0
sub-0352,1.6011599,2.2409264705882355,-0.11548656218233733,-0.8977784070203172,normal,1.0
sub-0029,0.2831841,2.6626470588235294,0.16388458379163273,1.2740187065170323,normal,0.0
sub-0445,0.58427864,2.374073529411765,-0.09216889492046754,-0.7165097141594174,normal,2.0
sub-0446,0.79881483,2.38075,-0.06232120450303036,-0.4844774201000078,normal,2.0
sub-0362,0.42562702,2.3567058823529417,-0.12667188666532825,-0.9847317512586722,normal,2.0
sub-0012,0.6126295,2.4731029411764704,0.009922583013152853,0.07713694652205945,normal,0.0
sub-0410,1.1221873,2.6614999999999993,0.253354998805988,1.9695507679893725,normal,0.0
sub-0285,0.43081626,2.635279411764706,0.15246211238461926,1.1852218111013326,normal,0.0
sub-0358,1.2976627,2.373132352941176,-0.01606023249483579,-0.12485028277856752,normal,1.0
sub-0220,0.5096172,2.271426470588235,-0.20287984561699535,-1.5771631016860508,normal,2.0
sub-0099,1.1059631,2.610617647058823,0.20072033309766057,1.5603753155323046,normal,0.0
sub-0009,0.45975518,2.6856764705882363,0.20598475145146278,1.6013002598223849,normal,0.0
sub-0218,0.7912629,2.5342352941176474,0.0903484350149677,0.7023576815495701,normal,0.0
sub-0198,2.665873,2.508059701492537,0.26664219136610123,2.0728437775393194,resistant,1.0
sub-0375,0.6633861,2.3896176470588237,-0.06808068806501089,-0.5292509407575083,normal,2.0
sub-0268,0.7949555,2.4163970588235295,-0.027090976908877185,-0.2106019404705736,normal,2.0
sub-0098,0.7534316,2.0897941176470587,-0.3581787530918139,-2.7844378107955596,sensitive,2.0
sub-0136,0.49682397,2.6521029411764703,0.17641487793520128,1.3714276803675804,normal,0.0
sub-0065,1.1402202,2.176838235294117,-0.2293591024774293,-1.7830096053312865,normal,1.0
sub-0383,0.89189136,2.32925,-0.10376837035150821,-0.8066826172051341,normal,2.0
sub-0267,1.6457802,2.258058823529412,-0.09353494410857444,-0.7271292134399804,normal,1.0
sub-0031,1.0568879,2.1121029411764707,-0.3030947943469564,-2.3562218538927007,sensitive,1.0
sub-0237,0.5094348,2.376308823529412,-0.09801719299070166,-0.7619736679394687,normal,2.0
sub-0168,0.830239,2.4317205882352937,-0.007956613833833615,-0.061853742617574196,normal,2.0
sub-0240,0.8255031,2.2668823529411766,-0.17330635527518456,-1.3472624054718698,normal,2.0
sub-0434,1.1986101,2.4043676470588236,0.00447677538376734,0.03480190419280935,normal,1.0
sub-0112,0.8989682,2.3933676470588234,-0.038886381316927565,-0.30229797141571774,normal,2.0
sub-0199,0.9808051,2.4781323529411767,0.054717209976975933,0.4253648968454534,normal,2.0
sub-0075,1.4944649,2.4076323529411767,0.03969560801892991,0.3085888008049875,normal,1.0
sub-0332,0.7601865,2.411720588235295,-0.03552271201561341,-0.27614921774246287,normal,2.0
sub-0457,0.62582374,2.376411764705882,-0.08534353489030444,-0.6634502002261405,normal,2.0
sub-0069,0.735434,2.467985294117647,0.018068572572073727,0.14046287286027231,normal,0.0
sub-0366,0.49832726,2.3474705882352938,-0.12805511049741858,-0.9954847641206008,normal,2.0
sub-0330,0.60386276,2.4372794117647056,-0.026847807903542797,-0.20871157436978743,normal,2.0
sub-0328,0.5771387,2.6753088235294116,0.20829524203573513,1.6192617309839252,normal,0.0
sub-0195,0.84158224,2.4878676470588235,0.04941558424296355,0.3841507069331701,normal,2.0
sub-0277,0.5308391,2.5758529411764703,0.10383871988582483,0.8072295058791087,normal,0.0
