sub,status,duration_s,grad_std
sub-0055,ok,14.9509859085083,0.02758173458278179
sub-0396,ok,20.29271125793457,0.02575100027024746
sub-0336,skipped,0.0,
sub-0121,skipped,0.0,
sub-0285,skipped,0.0,
sub-0005,skipped,0.0,
sub-0327,skipped,0.0,
sub-0111,skipped,0.0,
sub-0264,skipped,0.0,
sub-0422,skipped,0.0,
sub-0450,skipped,0.0,
sub-0269,skipped,0.0,
sub-0119,skipped,0.0,
sub-0014,skipped,0.0,
sub-0148,skipped,0.0,
sub-0452,skipped,0.0,
sub-0018,skipped,0.0,
sub-0211,skipped,0.0,
sub-0186,skipped,0.0,
sub-0019,skipped,0.0,
sub-0179,skipped,0.0,
sub-0400,skipped,0.0,
sub-0337,skipped,0.0,
sub-0189,skipped,0.0,
sub-0159,skipped,0.0,
