,sub,motion
0,sub-0108,1.1575445
1,sub-0259,2.4909089
2,sub-0207,2.6135426
3,sub-0211,3.0942311
4,sub-0026,1.6564575
5,sub-0241,1.6213435
0,sub-0232,2.4845994
1,sub-0359,3.0647113
2,sub-0033,2.4936585
3,sub-0228,1.5142295
4,sub-0288,2.574696
5,sub-0300,2.0581658
0,sub-0290,1.7834938
1,sub-0082,1.6152321
2,sub-0001,1.6493521
3,sub-0302,0.92781585
4,sub-0104,1.3397583
5,sub-0255,1.7614418
0,sub-0423,2.4408758
1,sub-0092,2.8247561
2,sub-0022,1.9127413
3,sub-0363,2.6437824
4,sub-0029,2.6324344
5,sub-0094,2.758486
0,sub-0291,2.4441326
1,sub-0425,2.6573699
2,sub-0038,0.9305001
3,sub-0434,1.5462925
4,sub-0236,2.8988643
5,sub-0237,3.0015426
0,sub-0415,0.7090938
1,sub-0378,2.3651373
2,sub-0421,1.9136966
3,sub-0031,2.7355032
4,sub-0449,2.5112019
5,sub-0152,2.559957
0,sub-0144,2.4099329
1,sub-0106,2.3013098
2,sub-0451,1.748743
3,sub-0121,0.52741414
4,sub-0413,2.8011997
5,sub-0086,1.6217252
0,sub-0016,1.9769303
1,sub-0053,2.7914546
2,sub-0210,1.7167051
3,sub-0209,1.8965998
4,sub-0088,2.7908766
5,sub-0103,1.8028567
0,sub-0182,1.548009
1,sub-0004,0.8793152
2,sub-0316,2.4636502
3,sub-0156,1.0394491
4,sub-0184,2.6547887
5,sub-0078,2.291266
0,sub-0405,2.1431396
1,sub-0263,2.6617072
2,sub-0120,2.6774352
3,sub-0201,1.522345
4,sub-0014,2.18892
5,sub-0126,0.6950907
0,sub-0055,0.3326673
1,sub-0284,2.7396708
2,sub-0083,2.9003594
3,sub-0084,1.6514928
4,sub-0060,2.488603
5,sub-0077,1.1035749
0,sub-0368,2.579226
1,sub-0192,2.5259244
2,sub-0366,2.778863
3,sub-0148,2.1966925
4,sub-0151,1.2280263
5,sub-0404,2.5212348
0,sub-0346,2.6993406
1,sub-0303,2.7467377
2,sub-0057,1.0178306
3,sub-0438,2.4627867
4,sub-0041,2.8607726
5,sub-0208,1.9689825
0,sub-0315,2.8530636
1,sub-0358,2.4332438
2,sub-0117,2.4523957
3,sub-0179,3.1636858
4,sub-0034,1.0098258
5,sub-0279,3.043255
0,sub-0385,2.2937157
1,sub-0040,2.9899824
2,sub-0317,2.3351989
3,sub-0233,2.7090902
4,sub-0301,1.5403453
5,sub-0440,3.0093753
0,sub-0337,3.1908584
1,sub-0191,2.524155
2,sub-0420,1.0229162
3,sub-0454,3.010633
4,sub-0282,1.5777723
5,sub-0178,1.8191323
0,sub-0065,3.0024679
1,sub-0429,1.2748994
2,sub-0229,2.589841
3,sub-0013,1.7417142
4,sub-0287,2.2705882
5,sub-0379,1.7542366
0,sub-0322,2.8974533
1,sub-0085,2.0308623
2,sub-0110,2.821232
3,sub-0102,2.0456145
4,sub-0176,2.3382351
5,sub-0304,2.4529116
0,sub-0170,2.3129344
1,sub-0353,1.2590218
2,sub-0350,2.0424716
3,sub-0335,1.1263155
4,sub-0133,2.9065099
5,sub-0142,1.573374
0,sub-0246,2.4386363
1,sub-0190,2.839364
2,sub-0411,2.7836087
3,sub-0426,1.3729794
4,sub-0119,2.1869068
5,sub-0224,1.903573
0,sub-0032,2.352948
1,sub-0329,2.847493
2,sub-0271,2.6526506
3,sub-0165,2.0586667
4,sub-0424,2.6377847
5,sub-0025,2.3717358
0,sub-0028,2.9420156
1,sub-0418,1.7776539
2,sub-0158,2.6573298
3,sub-0049,1.6997554
4,sub-0068,2.021399
5,sub-0407,2.1119244
0,sub-0230,2.8526118
1,sub-0345,2.8585386
2,sub-0239,2.4817226
3,sub-0299,1.7965556
4,sub-0027,1.7327833
5,sub-0362,3.0369296
0,sub-0071,1.3075702
1,sub-0397,1.1974902
2,sub-0218,2.6861553
3,sub-0202,1.7250354
4,sub-0453,1.1251571
5,sub-0140,1.5161917
0,sub-0365,2.7816262
1,sub-0386,1.5157055
2,sub-0193,1.0371311
3,sub-0340,0.83173734
4,sub-0380,2.7258928
5,sub-0050,1.8736457
0,sub-0200,1.242625
1,sub-0269,2.1768258
2,sub-0098,2.117396
3,sub-0417,1.3088807
4,sub-0388,2.834468
5,sub-0095,0.8056214
0,sub-0446,2.1124392
1,sub-0419,1.7849411
2,sub-0145,1.7412026
3,sub-0105,2.8673556
4,sub-0123,0.8487875
5,sub-0238,1.9634421
0,sub-0280,2.5579455
1,sub-0343,0.82034147
2,sub-0430,2.5599015
3,sub-0047,1.4222564
4,sub-0374,2.6611123
5,sub-0174,2.9608026
0,sub-0235,0.951534
1,sub-0136,1.8034147
2,sub-0408,0.8611898
3,sub-0351,2.6512458
4,sub-0169,2.0838838
5,sub-0273,2.271748
0,sub-0281,2.7117155
1,sub-0431,1.9241433
2,sub-0157,1.9934177
3,sub-0268,2.5413957
4,sub-0422,2.148279
5,sub-0433,1.3766639
0,sub-0019,3.1536257
1,sub-0213,0.8141642
2,sub-0097,2.5047617
3,sub-0318,0.88141423
4,sub-0045,1.5179837
5,sub-0402,2.7142744
0,sub-0376,1.9327093
1,sub-0310,2.9473202
2,sub-0005,0.58198607
3,sub-0039,2.606711
4,sub-0274,3.004331
5,sub-0197,2.367005
0,sub-0266,1.8800462
1,sub-0159,3.4169455
2,sub-0188,2.4480734
3,sub-0037,2.5592241
4,sub-0091,1.8513762
5,sub-0221,1.9357415
0,sub-0180,1.0440228
1,sub-0046,2.653932
2,sub-0186,3.1182384
3,sub-0392,1.718061
4,sub-0052,2.486475
5,sub-0309,1.7755527
0,sub-0373,2.6902757
1,sub-0240,3.0142205
2,sub-0074,2.7378235
3,sub-0286,2.9392352
4,sub-0130,2.3889098
5,sub-0138,1.8896338
0,sub-0216,1.8889067
1,sub-0264,0.6220042
2,sub-0336,0.4915003
3,sub-0018,3.0930634
4,sub-0054,1.7105511
5,sub-0073,2.5628107
0,sub-0217,2.280299
1,sub-0394,2.1308885
2,sub-0452,2.2068408
3,sub-0135,2.2145054
4,sub-0375,1.1132219
5,sub-0432,1.5799918
0,sub-0330,1.6683193
1,sub-0447,1.8878316
2,sub-0124,2.2837074
3,sub-0030,2.486781
4,sub-0009,1.8860583
5,sub-0163,1.7722561
0,sub-0406,2.7242115
1,sub-0007,1.2910405
2,sub-0387,2.8104432
3,sub-0137,1.8607881
4,sub-0267,1.6274209
5,sub-0277,1.0603371
0,sub-0328,2.2253673
1,sub-0370,0.65857786
2,sub-0076,0.645712
3,sub-0243,1.2889804
4,sub-0141,0.8177669
5,sub-0132,1.4199333
0,sub-0244,2.8332832
1,sub-0227,1.481909
2,sub-0249,2.0953379
3,sub-0442,1.9129757
4,sub-0199,2.7168567
5,sub-0349,1.3941729
0,sub-0256,1.7471086
1,sub-0311,1.7353952
2,sub-0150,1.7124937
3,sub-0352,1.4791971
4,sub-0173,2.9571176
5,sub-0099,1.0625609
0,sub-0087,1.6619076
1,sub-0339,2.4380705
2,sub-0146,2.9358463
3,sub-0162,2.8252935
4,sub-0450,2.1546626
5,sub-0139,2.9919307
0,sub-0448,2.0548477
1,sub-0168,1.0788631
2,sub-0012,2.6628516
3,sub-0410,1.3695819
4,sub-0234,2.7815347
5,sub-0198,2.2981145
0,sub-0015,2.6518025
1,sub-0079,2.8471572
2,sub-0080,1.2818054
3,sub-0035,2.8116071
4,sub-0067,1.3177845
5,sub-0002,2.714846
0,sub-0296,2.8746095
1,sub-0064,2.688686
2,sub-0247,2.238915
3,sub-0125,2.306
4,sub-0294,2.452447
5,sub-0122,1.5759803
0,sub-0443,1.4466205
1,sub-0181,2.592179
2,sub-0283,2.836234
3,sub-0338,2.6810517
4,sub-0321,2.9600692
5,sub-0206,2.6611426
0,sub-0101,2.5584683
1,sub-0396,0.40883458
2,sub-0355,2.520634
3,sub-0112,1.3860556
4,sub-0361,0.932681
5,sub-0437,1.9817011
0,sub-0167,2.0014691
1,sub-0383,1.9375482
2,sub-0177,0.9472404
3,sub-0435,2.5963392
4,sub-0416,2.5905688
5,sub-0042,2.687713
0,sub-0260,2.8941095
1,sub-0155,2.6161528
2,sub-0456,0.9333664
3,sub-0113,2.437029
4,sub-0390,1.6686305
5,sub-0342,2.5744717
0,sub-0189,3.2384708
1,sub-0062,1.9211627
2,sub-0226,2.5212104
3,sub-0195,2.6112359
4,sub-0223,2.6802735
5,sub-0401,2.496845
0,sub-0270,1.9915988
1,sub-0115,2.8678617
2,sub-0020,0.9096364
3,sub-0444,2.849087
4,sub-0371,1.8982387
5,sub-0298,2.2444458
0,sub-0096,1.3175175
1,sub-0278,2.344125
2,sub-0212,0.6536642
3,sub-0377,2.4127893
4,sub-0250,0.70331717
5,sub-0161,0.98448616
0,sub-0017,2.5723155
1,sub-0134,0.9571351
2,sub-0070,2.354545
3,sub-0010,2.9840424
4,sub-0333,1.6809168
5,sub-0127,1.0707006
0,sub-0292,2.9733512
1,sub-0265,2.229557
2,sub-0344,0.90782005
3,sub-0307,2.664294
4,sub-0090,1.508463
5,sub-0403,1.827509
0,sub-0439,1.3612576
1,sub-0044,2.572256
2,sub-0109,0.75647044
3,sub-0063,2.8768432
4,sub-0293,1.63341
5,sub-0254,2.5002434
0,sub-0382,2.070419
1,sub-0313,0.9561459
2,sub-0289,2.2773027
3,sub-0059,3.0874324
4,sub-0143,1.9595275
5,sub-0183,0.84633434
0,sub-0253,1.1740144
1,sub-0166,2.9680107
2,sub-0116,2.7007303
3,sub-0107,2.638199
4,sub-0319,2.3203902
5,sub-0445,1.9377613
0,sub-0272,2.6119306
1,sub-0341,2.0130644
2,sub-0203,1.4964123
3,sub-0409,1.3387545
4,sub-0455,0.94720113
5,sub-0331,2.45714
0,sub-0006,1.3538727
1,sub-0043,2.4815443
2,sub-0003,2.995437
3,sub-0160,1.0933504
4,sub-0312,2.949886
5,sub-0314,2.9960928
0,sub-0369,2.7833748
1,sub-0327,0.6023763
2,sub-0075,2.431008
3,sub-0205,2.690514
4,sub-0056,2.3118885
5,sub-0262,1.1377513
0,sub-0399,1.9077879
1,sub-0058,0.9387821
2,sub-0367,2.0553877
3,sub-0395,0.9563533
4,sub-0072,2.612142
5,sub-0354,2.040242
0,sub-0389,2.5164235
1,sub-0441,2.8851805
2,sub-0129,2.8054724
3,sub-0381,2.6477532
4,sub-0295,2.0603356
5,sub-0372,1.0690047
0,sub-0400,3.1676285
1,sub-0204,2.3711395
2,sub-0348,2.8440602
3,sub-0147,1.3075352
4,sub-0164,1.1586719
5,sub-0398,1.296173
0,sub-0275,1.3460226
1,sub-0305,1.6938319
2,sub-0051,0.8858369
3,sub-0081,1.3197374
4,sub-0111,0.61626977
5,sub-0261,2.32326
0,sub-0308,2.8486543
1,sub-0185,3.00646
2,sub-0066,1.4414723
3,sub-0153,2.6595273
4,sub-0457,1.9834061
5,sub-0231,1.1000382
0,sub-0214,1.4744188
1,sub-0323,2.897072
2,sub-0114,2.243821
3,sub-0023,2.082229
4,sub-0332,2.8177178
5,sub-0131,2.511918
0,sub-0222,2.7591171
1,sub-0258,2.112649
2,sub-0011,2.6110237
3,sub-0428,1.7851979
4,sub-0357,1.3890954
5,sub-0285,0.5785841
0,sub-0021,1.7415556
1,sub-0384,1.1341963
2,sub-0220,1.7706245
3,sub-0325,1.5991839
4,sub-0326,2.5280147
5,sub-0356,1.8315992
